1,"Praktik Manajemen CSR (tanggung jawab sosial perusahaan) 
PT. GGPC Lampung Tengah
"," Wildan, Abdurrahman Wildan",,,digilib,oai:digilib.unila.ac.id:4,2026-04-14 05:54:45.603496+07
2," 
OPTIMASI ALIRAN DAYA MENGGUNAKAN UNIFIED POWER FLOW CONTROL (UPFC) PADA SISTEM TRANSMISI 150 KV WILAYAH 
 
LAMPUNG ","., EZI HAILI ANANTA ",,,digilib,oai:digilib.unila.ac.id:8,2026-04-14 05:54:45.778724+07
3,KETAHANAN KULTIVAR CABAI MERAH (Capsicum annuum L.) TERHADAP JAMUR Colletotrichum capsici (Syd.) Butler & Bisby PENYEBAB PENYAKIT ANTRAKNOSA,"Miskun, Arie Regita",,,digilib,oai:digilib.unila.ac.id:9,2026-04-14 05:54:45.80819+07
4,"STUDI DAYA DUKUNG TANAH ORGANIK  MENGGUNAKAN MATOS 
 ","., M. SENDI WIRATAMA ",,,digilib,oai:digilib.unila.ac.id:10,2026-04-14 05:54:45.864758+07
5,"PERANCANGAN DAN IMPLEMENTASI SISTEM INFORMASI RESTORAN MULTI CABANG 
MANAJEMEN TERPUSAT DENGAN MENGGUNAKAN VPN (VIRTUAL PRIVATE NETWORK) 
 (Studi Kasus di Pondok Santap Glompong) ","., RENDI AGUNG WIJAYA ",,,digilib,oai:digilib.unila.ac.id:11,2026-04-14 05:54:45.923972+07
6,"RANCANG BANGUN KONVEYOR PENYORTIRAN BARANG DENGAN PENGENALAN POLA BENTUK DAN WARNA MENGGUNAKAN 
WE B C A M  ","., Rudi Hasudungan Hutabarat ",,,digilib,oai:digilib.unila.ac.id:12,2026-04-14 05:54:45.965286+07
7,RANCANG BANGUN PENGATURAN PAKAN PADA MODEL TAMBAK SECARA OTOMATIS BERBASIS MIKROKONTROLLER ATMEGA32 ,"., SINGGIH ANDRIYAWAN ",,,digilib,oai:digilib.unila.ac.id:13,2026-04-14 05:54:46.004186+07
8,"RANCANG BANGUN SISTEM PAKAR UNTUK MENDIAGNOSA PENYAKIT TANAMAN CABAI 
DENGAN METODE FORWARD CHAINING  ","., Anas Anshori ",,,digilib,oai:digilib.unila.ac.id:14,2026-04-14 05:54:46.017235+07
9,ANALISA PENTANAHAN NETRAL PADA GARDU INDUK 150 kV PADA SISTEM INTERKONEKSI SUMBAGSEL,"., FARDINAN AHMAD",,,digilib,oai:digilib.unila.ac.id:15,2026-04-14 05:54:46.031559+07
10,RANCANG BANGUN SIMULATOR ALAT BANTU KESELAMATAN TERPADU PADA KENDARAAN BERDASARKAN SENSOR JARAK DENGAN MENGGUNAKAN MIKROKONTROLER ATMEGA8535 ,"., RIYO HARDIYANTO ",,,digilib,oai:digilib.unila.ac.id:16,2026-04-14 05:54:46.036775+07
18,Pengaruh Citra Merek dan Kesadaran Merek Terhadap Keputusan Pembelian Produk Skintific Pada TikTokshop (Studi Kasus Mahasiswa FEB Universitas Bandar Lampung),"Agnes Nofita Fatmasari, M. S. Barusman","Studi ini menganalisis pengaruh citra merek dan kesadaran merek terhadap keputusan pembelian produk skincare Skintific melalui Tikok Shop, pada mahasiswa FEB Universitas Bandar Lampung. Metodologi menggunakan teknik kuantitatif yang dilakukan dengan analisis regresi linier berganda. Data telah dikumpulkan dari sembilan puluh responden yang merupakan pengguna aktif TikTok. Temuan didapat citra merek memiliki kontribusi signifikan pada keputusan pembelian. Demikian pula, kesadaran merek berpengaru",,semantic_scholar,https://www.semanticscholar.org/paper/b34dd09ddfbe8e9e41cc6740982ab0563c162fac,2026-04-14 09:40:41.280665+07
19,Pengaruh Influencer TikTok Awbimax Terhadap Penilaian Sosial Mahasiswa Universitas Lampung,"Imam Mahmud, Arif Ainun Na’im, Erna Wahyu Septianna","Penelitian ini bertujuan untuk menginvestigasi pengaruh influencer TikTok dengan nama akun @Awbimax terhadap penilaian sosial mahasiswa Universitas Lampung. Dalam era media sosial, influencer memiliki peran penting dalam menyebarkan informasi dan memengaruhi perilaku masyarakat, termasuk di antaranya mahasiswa. Penelitian ini dilatarbelakangi oleh fenomena kritik yang dilontarkan oleh Awbimax terhadap kondisi di Provinsi Lampung, yang menciptakan respon dan tanggapan dari masyarakat, termasuk ma",,semantic_scholar,https://www.semanticscholar.org/paper/e3b5f1dea94cd35345e4e505baa4a11adb986b0d,2026-04-14 09:40:41.348159+07
20,Analisis Implementasi Pengendalian Waktu Dan Biaya Pada Pelaksanaan Pembangunan Gedung C Fkip Tahap III Universitas Lampung Dengan Metode Earned Value,"Ike Novita Sari, I. Kustiani, Amril Ma''ruf Siregar","Sarana dan prasarana menjadi penunjang utama dalam meningkatkan pendidikan di Indonesia. Universitas Lampung melakukan kegiatan rutin yakni pembangunan maupun renovasi gedung-gedung guna menunjang kebutuhan fasilitas pendidikan. Agar kegiatan proyek pembangunan berjalan sesuai jadwal dan sesuai anggaran, maka diperlukan pengendalian proyek seperti pada pembangunan Gedung C FKIP Tahap 3 Universitas Lampung dilakukan dengan menggunakan metode nilai hasil. Tujuan dari penelitian ini adalah menganal",,semantic_scholar,https://www.semanticscholar.org/paper/a4827ce7564e771f57032d26b14caece2538f525,2026-04-14 09:40:41.358046+07
